1;26015912;2490198494;
2;2490198494;26015910;
3;26015910;128580399;
4;128580399;4161788736;
8;26015892;25532204;
9;25532204;3522106301;
10;3522106301;3522106300;
11;3522106300;112597522;
12;112597522;3522106294;
13;3522106294;25532205;
14;25532205;3522105991;
15;3522105991;112597525;
23;26015879;3092764697;
24;3092764697;3713666408;
25;3713666408;3092764705;
26;3092764705;3713666409;
27;3713666409;25532146;
28;25532146;3713666412;
29;3713666412;3092764699;
30;3092764699;3713666415;
31;3713666415;25532145;
32;25532145;3713666420;
33;3713666420;3092764710;
34;3092764710;25532144;
35;25532144;3713667325;
36;3713667325;26122713;
50;26122714;3713667326;
51;3713667326;25532193;
52;25532193;3713666418;
53;3713666418;25532222;
57;26122714;25532197;
58;25532197;3713667327;
59;3713667327;3713666423;
60;3713666423;3713666422;
61;3713666422;25532199;
62;25532199;3713666421;
63;3713666421;3713666419;
64;3713666419;25532200;
65;25532200;3713666416;
66;3713666416;3713666414;
67;3713666414;3713666413;
68;3713666413;25532201;
69;25532201;25532202;
70;25532202;26015889;
84;26122781;3713963961;
85;3713963961;3713963958;
86;3713963958;3713963955;
87;3713963955;3713963954;
88;3713963954;26057801;
93;26122784;3713963423;
94;3713963423;112652825;
95;112652825;3713963419;
96;3713963419;3713963417;
97;3713963417;3713963414;
98;3713963414;26057776;
99;26057776;3713963410;
100;3713963410;112652828;
101;112652828;3713963406;
102;3713963406;26057774;
103;26057774;3713963404;
104;3713963404;112652829;
105;112652829;3713963407;
106;3713963407;26057772;
107;26057772;3713963411;
108;3713963411;3713963412;
109;3713963412;112652830;
110;112652830;3713963418;
111;3713963418;3713963420;
112;3713963420;26057769;
113;26057769;3713963421;
114;3713963421;3713963422;
115;3713963422;112652831;
116;112652831;3713963424;
117;3713963424;26057767;
118;26057767;112652832;
119;112652832;3713963928;
120;3713963928;3713963929;
121;3713963929;3713963930;
122;3713963930;26057764;
123;26057764;112652833;
124;112652833;26057762;
125;26057762;3713963934;
126;3713963934;3713963933;
127;3713963933;3713963932;
128;3713963932;112652932;
164;26057853;3713963415;
165;3713963415;3713963413;
166;3713963413;26057854;
167;26057854;3713963408;
168;3713963408;112654450;
